x_site,y_site,n,slope,intercept,r2
8.1_34.2,9.1_17.2,53,0.8706232636050818,0.9077074648754979,0.7229244236405549
9.1_17.2,9.1_17.2,311,0.9999999999999998,2.5050704391180687e-15,1
9.2,9.1_17.2,54,1.4863521917718867,0.37088452822045576,0.9578016819227957
12.1_5.2,9.1_17.2,113,0.9348151614785192,0.5939426517260706,0.9042980369325151
13.1_33.2,9.1_17.2,84,0.3517820362867169,6.202924987219882,0.3607775517555979
14.1,9.1_17.2,224,0.9614855286426105,1.353000970460965,0.9221362357606577
15.1,9.1_17.2,119,3.292465565869476,-2.1946091628073936,0.8225636197981757
18.1_26.1,9.1_17.2,266,0.8381314572403069,0.5976214710693362,0.8973767561244615
20.1,9.1_17.2,77,0.8768116353458653,-0.055335856860659505,0.7266207367285078
20.2,9.1_17.2,53,1.2926227218961155,0.4609113096409474,0.9376790647396316
21.1,9.1_17.2,264,1.020616726264387,0.1047774830472621,0.8744226517619225
22.1,9.1_17.2,216,0.8831196715443854,1.664455059370178,0.8874766455676499
23.1,9.1_17.2,250,0.8767871250183659,0.8920649578361304,0.7874729280895083
24.1_1.2,9.1_17.2,205,1.0571110949185043,0.5702704639811257,0.8705414303009581
25.1,9.1_17.2,38,1.2436963751480894,0.01308303190890985,0.9122707482664383
27.1,9.1_17.2,53,1.1084072434641057,-1.2710574804833406,0.9502066070874303
28.1,9.1_17.2,169,0.40110859592790854,7.244753755598358,0.1775637342978228
29.1,9.1_17.2,223,0.992659350031837,0.644401583569717,0.9307853902279809
30.1_17.1,9.1_17.2,43,0.7291187280584409,0.15130955328163692,0.8766343935762466
31.2,9.1_17.2,76,1.0681900956178179,-0.17376485251127188,0.9311464281514606
32.2,9.1_17.2,60,1.0828835866277797,-0.21772510730093989,0.9113056857176783
34.1_16.1,9.1_17.2,113,0.8578162797684199,2.0371848766166023,0.9023249097951754
35.2,9.1_17.2,68,1.3103210116038302,0.3889538730076558,0.908526791883749
2.1,9.2,24,0.7792565225770239,0.7114270872396693,0.9861437493038817
3.1,9.2,55,0.806116184510426,0.528751638568086,0.9434741994861907
5.1_19.3_24.2,9.2,20,0.8162365944731492,0.19167856803751293,0.9620102916587713
7.2,9.2,43,0.6164188453730136,0.6295936628775469,0.865734072373302
9.1_17.2,9.2,54,0.6443975305617144,0.02568920396640639,0.9578016819227957
9.2,9.2,55,0.9999999999999998,1.3924135075374455e-15,1
12.1_5.2,9.2,21,0.7320199822160035,0.2178927991139262,0.9801116642953204
13.1_33.2,9.2,22,0.256565926380823,3.217708518348036,0.3532895032942695
14.1,9.2,55,0.6830196597843345,0.01837439151286998,0.9423341984631333
15.1,9.2,53,2.114878260197173,-1.630186560057742,0.9492980392908204
18.1_26.1,9.2,55,0.6476966411348982,0.21143775658467762,0.9707459125983039
20.2,9.2,28,0.8522184375112298,0.20516532045214156,0.9740243166442019
21.1,9.2,47,0.6865884066996668,0.10986182948192831,0.9594443853570721
22.1,9.2,47,0.6746485872371883,0.26675168433040625,0.9395388467071035
28.1,9.2,55,4.155460718115856,-4.590490281877012,0.9175669760007441
29.1,9.2,54,0.6191616124765078,0.22030506367530447,0.9155813744985033
31.2,9.2,54,0.6567684921965463,0.10482885098872416,0.9267184092356925
32.2,9.2,46,0.6658802997148562,0.06285117052250934,0.952745535655735
34.1_16.1,9.2,33,0.693371903644529,0.014153441093619153,0.935567424949706
35.2,9.2,54,0.8518283539059395,0.21796278518814452,0.9755051236045953
3.1,11.1_32.1_18.2,10,0.9154197093522333,0.6169885515050896,0.9624768621264923
11.1_32.1_18.2,11.1_32.1_18.2,10,1,1.1234667099445444e-15,1
