sensor_id,site_id,latitude,longitude,datetime_utc,pm25,removal_reason
18.1,18.1_26.1,41.47918,-81.75257,2025-04-28T12:30:00Z,1180.799,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-28T13:00:00Z,1629.851,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-28T13:30:00Z,3244.474,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-28T14:00:00Z,3417.862,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-28T14:30:00Z,1279.476,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-28T15:00:00Z,312.048,PM2.5 > 250
20.1,20.1,41.569957,-81.541194,2025-05-13T14:30:00Z,306.273,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-02T00:30:00Z,312.788,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-02T03:00:00Z,401.668,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-02T03:30:00Z,478.588,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-02T04:00:00Z,534.448,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-02T04:30:00Z,565.887,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-02T05:00:00Z,505.567,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-02T05:30:00Z,544.73,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-02T06:00:00Z,475.102,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-02T06:30:00Z,906.391,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-02T07:00:00Z,618.421,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-02T07:30:00Z,633.684,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-02T08:00:00Z,566.38,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-02T09:00:00Z,259.998,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-02T09:30:00Z,393.244,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-02T10:00:00Z,853.866,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-03T09:30:00Z,550.624,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-03T10:00:00Z,668.922,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-03T10:30:00Z,578.222,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-04T13:30:00Z,677.499,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-04T22:30:00Z,264.734,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-05T21:30:00Z,250.156,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-06T00:00:00Z,256.695,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-06T03:30:00Z,480.221,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-06T04:00:00Z,480.221,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-07T01:30:00Z,295.66,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-23T13:30:00Z,262.676,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-25T10:30:00Z,529.714,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-25T11:30:00Z,805.966,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-25T14:00:00Z,448.087,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-25T16:00:00Z,396.005,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-28T19:00:00Z,310.701,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-29T00:00:00Z,270.385,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-08-30T19:30:00Z,512.232,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-04T10:30:00Z,250.474,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-04T12:30:00Z,1117.942,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-04T13:00:00Z,527.246,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-04T13:30:00Z,896.248,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-04T14:00:00Z,292.556,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-04T14:30:00Z,288.593,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-04T15:30:00Z,572.3,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-04T23:30:00Z,2201.116,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-05T04:30:00Z,325.306,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-05T09:00:00Z,274.849,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-05T09:30:00Z,308.671,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-05T11:00:00Z,579.726,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-05T11:30:00Z,256.497,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-05T12:00:00Z,505.452,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-06T12:00:00Z,661.014,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-06T13:00:00Z,446.247,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-12T12:00:00Z,273.958,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-12T22:00:00Z,4218.791,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-14T04:00:00Z,499.994,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-14T08:00:00Z,314.555,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-14T10:00:00Z,280.832,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-14T11:30:00Z,308.794,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-15T23:00:00Z,503.373,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-16T11:00:00Z,589.68,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-17T10:00:00Z,404.854,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-17T11:30:00Z,347.967,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-19T11:00:00Z,546.89,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-22T04:00:00Z,664.335,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-22T11:00:00Z,320.271,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-22T12:00:00Z,260.169,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-22T23:30:00Z,482.189,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-27T10:30:00Z,261.225,PM2.5 > 250
27.1,27.1,41.50541,-81.66791,2025-09-27T11:00:00Z,261.225,PM2.5 > 250
